Contrato;Modalidade;Status;Placa;Reserva;Grupo Reserva;Grupo Retirada;Canal Venda;Retirada;Loja RET;Devolução;Loja DEV;Diárias;Total do Período;Upgrade/Upsell;Região Retirada;Região Devolução
20340052;Eventual;Aberto;RVC1G53;MV28C2Q9BPBR;F;FY;Mobile;25/03/2023 11:10;SÃO PAULO - SHOPPING DeD - BROOKLIN;27/03/2023 14:05;SÃO PAULO - SHOPPING DeD - BROOKLIN;2.0;673,86;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20340112;Eventual;Aberto;RUC3I56;MV25AFXV37BR;HX;QX;WebServices (XML);25/03/2023 11:20;SÃO CAETANO DO SUL;27/03/2023 12:00;SÃO CAETANO DO SUL;2.0;666,83;Upgrade;;
20340339;Eventual;Aberto;SDU3E83;MV1TO698GPBR;KX;KE;WebServices (XML);25/03/2023 11:45;SÃO PAULO - JUSCELINO KUBITSCHEK;27/03/2023 13:00;SÃO PAULO - JUSCELINO KUBITSCHEK;2.0;1.403,58;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20340389;Eventual;Aberto;RTW2D97;MV1QOG8HR1BR;D;HX;Call Center;25/03/2023 11:38;SÃO CARLOS;27/03/2023 10:00;SÃO CARLOS;2.0;331,09;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20340461;Eventual;Aberto;RTM2I93;MV24KONCLWBR;D;H;Mobile;25/03/2023 12:36;VITÓRIA AEROPORTO;26/03/2023 13:00;VITÓRIA AEROPORTO;1.0;167,35;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20340563;Eventual;Aberto;RKP7E87;MV1TO69VMQBR;H;HX;Parcerias;25/03/2023 12:00;SÃO PAULO - JUSCELINO KUBITSCHEK;27/03/2023 08:30;SÃO PAULO - JUSCELINO KUBITSCHEK;2.0;779,97;UpSell;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20340593;Eventual;Aberto;RUB6F07;MV1Q1LKBDABR;AX;HY;Mobile;25/03/2023 12:02;NITERÓI;27/03/2023 12:30;NITERÓI;2.0;314,85;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20340624;Eventual;Aberto;EXE4F24;MV22TR7C93BR;F;H;Mobile;25/03/2023 12:50;RIO DE JANEIRO - SHOPPING BOULEVARD;26/03/2023 13:00;RIO DE JANEIRO - SHOPPING BOULEVARD;1.0;133,18;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20340691;Eventual;Aberto;ECU0A15;MV4H1FFKSF3BR;H;HX;Mobile;25/03/2023 13:05;RIO DE JANEIRO - CAMPO GRANDE;27/03/2023 13:00;RIO DE JANEIRO - BANGU SHOPPING;2.0;540,15;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20341084;Eventual;Aberto;RTO7F20;MV2250VRSKBR;G;H;Website Movida;25/03/2023 12:45;JUIZ DE FORA CENTRO;27/03/2023 11:30;JUIZ DE FORA CENTRO;2.0;439,02;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20341106;Eventual;Aberto;RUH7H92;MV1JNTT1SRBR;HX;D;Mobile;25/03/2023 12:57;SÃO PAULO - GUARULHOS AEROPORTO;27/03/2023 16:30;SÃO PAULO - GUARULHOS AEROPORTO;2.0;578,39;UpSell;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20341137;Eventual;Aberto;RMM8B65;MV1N1VFEJFBR;FX;FY;Mobile;25/03/2023 13:30;MACAÉ;27/03/2023 18:00;MACAÉ;2.0;489,49;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20341194;Eventual;Aberto;RTZ7B98;MV1O8RC6S4BR;MJ;MJ;Mobile;25/03/2023 13:10;SÃO PAULO - SHOPPING CAMPO LIMPO;27/03/2023 12:00;SÃO PAULO - SHOPPING CAMPO LIMPO;2.0;704,57;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20341374;Eventual;Aberto;RUA1D46;MV1SHABM2RBR;H;HX;Mobile;25/03/2023 14:11;CURITIBA AEROPORTO;27/03/2023 14:30;CURITIBA AEROPORTO;2.0;538,19;Upgrade;RAC_SUL_PR_SC;RAC_SUL_PR_SC
20341438;Eventual;Aberto;RUQ7H77;MV282JJ60JBR;BS;H;WebServices (XML);25/03/2023 14:00;RIO DE JANEIRO - BARRA DA TIJUCA AYRTON SENNA;27/03/2023 14:00;RIO DE JANEIRO - BARRA DA TIJUCA AYRTON SENNA;2.0;558,07;UpSell;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20341596;Eventual;Aberto;RGB1H67;MV1WEDBF7YBR;HX;HW;Mobile;25/03/2023 14:07;SÃO PAULO - TATUAPÉ II;27/03/2023 14:00;SÃO PAULO - GUARULHOS AEROPORTO;2.0;633,09;UpSell;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20341771;Eventual;Aberto;GIJ8E11;MV1V9DW2U2BR;F;H;Mobile;25/03/2023 15:23;MACAPA AEROPORTO;27/03/2023 16:00;MACAPA AEROPORTO;2.0;345,90;Upgrade;RAC_NORTE;RAC_NORTE
20341792;Eventual;Aberto;RON4D31;MV1K5YKAYUBR;E;K;WebServices (XML);25/03/2023 14:30;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;27/03/2023 10:00;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;2.0;655,98;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20341871;Eventual;Aberto;EOD4J86;MV1UFTB1DFBR;F;HX;Parcerias;25/03/2023 14:59;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;26/03/2023 15:00;BELO HORIZONTE PAMPULHA ANTONIO CARLOS;1.0;283,47;Upgrade;RAC_MG;RAC_MG
20341925;Eventual;Aberto;GFJ7C03;MV2WFIPMWQBR;FX;HX;Mobile;25/03/2023 15:10;NOVA IGUAÇU;27/03/2023 15:30;NOVA IGUAÇU;2.0;455,73;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20342368;Eventual;Aberto;GJY3F47;MV4H530E7E7BR;F;H;Loja - Walk in;25/03/2023 17:00;"Filial ID
NRSH    RIO DE JANEIRO - NORTE SHOPPING
NRSH    RIO DE JANEIRO - NORTE SHOPPING
Name: Loja, dtype: object";27/03/2023 15:30;"Filial ID
NRSH    RIO DE JANEIRO - NORTE SHOPPING
NRSH    RIO DE JANEIRO - NORTE SHOPPING
Name: Loja, dtype: object";2.0;505,73;Upgrade;"Filial ID
NRSH    RAC_RJ_CAPITAL
NRSH               NaN
Name: Região, dtype: object";"Filial ID
NRSH    RAC_RJ_CAPITAL
NRSH               NaN
Name: Região, dtype: object"
20342427;Eventual;Aberto;RTI2D21;MV2D2PBQ52BR;JC;M;WebServices (XML);25/03/2023 17:20;BARUERI ALPHAVILLE - TAMBORE;27/03/2023 20:00;COTIA GRANJA VIANNA SHOPPING;2.0;747,62;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20342449;Eventual;Aberto;GHH1B93;MV1UHPY1H8BR;BX;D;Loja - Walk in;25/03/2023 17:17;VITÓRIA DA CONQUISTA AEROPORTO;27/03/2023 17:17;VITÓRIA DA CONQUISTA AEROPORTO;2.0;482,54;UpSell;RAC_BA_SE_AL;RAC_BA_SE_AL
20342877;Eventual;Aberto;RUZ1F79;MV22TR7ORHBR;BX;K;Portal Agência;25/03/2023 19:24;RIO DE JANEIRO - SHOPPING BOULEVARD;27/03/2023 20:00;RIO DE JANEIRO - SHOPPING BOULEVARD;2.0;283,99;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20342993;Eventual;Aberto;RIS7I04;MV1LKH6NTFBR;G;HX;Parcerias;25/03/2023 19:47;RIO DE JANEIRO - COPACABANA RIO SUL SH;27/03/2023 19:30;RIO DE JANEIRO - COPACABANA RIO SUL SH;2.0;390,92;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20343012;Eventual;Aberto;FRZ0G54;MV1LKH17RMBR;BX;D;Website Movida;25/03/2023 19:52;RIO DE JANEIRO - COPACABANA RIO SUL SH;27/03/2023 20:00;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;2.0;272,05;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20343042;Eventual;Aberto;RUH7J98;MV23A0BQICBR;H;D;Loja - Walk in;25/03/2023 20:00;UBERLÂNDIA AEROPORTO;27/03/2023 22:00;UBERLÂNDIA AEROPORTO;2.0;459,19;UpSell;RAC_MG;RAC_MG
20343056;Eventual;Aberto;RMH1C65;MV1LKH6P5EBR;B;FY;Call Center;25/03/2023 20:10;RIO DE JANEIRO - COPACABANA RIO SUL SH;27/03/2023 20:10;RIO DE JANEIRO - COPACABANA RIO SUL SH;2.0;255,65;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20343233;Eventual;Aberto;RTK1C93;MV1UT5S8ENBR;HX;SS;Mobile;26/03/2023 18:50;SÃO PAULO - SHOPPING SANTA CRUZ;27/03/2023 19:00;SÃO PAULO - SHOPPING SANTA CRUZ;1.0;290,36;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20343239;Eventual;Aberto;RTU2F38;MV24KOMR52BR;BX;D;Portal Empresa;25/03/2023 21:30;VITÓRIA AEROPORTO;26/03/2023 20:00;VITÓRIA AEROPORTO;1.0;159,57;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20343309;Eventual;Aberto;RJS7F09;MV2499SNNABR;H;HX;Portal Empresa;25/03/2023 22:04;"Filial ID
POA    PORTO ALEGRE AEROPORTO
POA    PORTO ALEGRE AEROPORTO
Name: Loja, dtype: object";27/03/2023 22:00;"Filial ID
POA    PORTO ALEGRE AEROPORTO
POA    PORTO ALEGRE AEROPORTO
Name: Loja, dtype: object";2.0;409,56;Upgrade;"Filial ID
POA    RAC_SUL_RS_SC
POA    RAC_SUL_RS_SC
Name: Região, dtype: object";"Filial ID
POA    RAC_SUL_RS_SC
POA    RAC_SUL_RS_SC
Name: Região, dtype: object"
20343413;Eventual;Aberto;SHB7E43;MV1QB4R7YHBR;BS;HX;Mobile;25/03/2023 22:59;BOA VISTA AEROPORTO;27/03/2023 22:59;BOA VISTA AEROPORTO;2.0;442,40;Upgrade;RAC_NORTE;RAC_NORTE
20343868;Eventual;Aberto;RTU2G44;MV1JLX69TIBR;BS;D;WebServices (XML);26/03/2023 09:25;SÃO PAULO - CONGONHAS AEROPORTO;27/03/2023 12:25;SÃO PAULO - CONGONHAS AEROPORTO;1.0;232,39;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20344066;Eventual;Aberto;RUC0E06;MV208DI27DBR;H;HX;Website Movida;26/03/2023 10:05;SÃO PAULO - MOEMA;27/03/2023 10:00;SÃO PAULO - MOEMA;1.0;313,99;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20344261;Eventual;Aberto;GHY9C43;MV1OGE1KM3BR;H;HX;Website Movida;26/03/2023 10:50;SANTOS AFFONSO PENNA;27/03/2023 20:00;SANTOS AFFONSO PENNA;2.0;576,78;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20344526;Eventual;Aberto;FRP2F23;MV1MHU1V6TBR;BX;D;Mobile;26/03/2023 11:54;NATAL AEROPORTO;27/03/2023 14:54;NATAL AEROPORTO;1.0;152,26;Upgrade;RAC_NORDESTE;RAC_NORDESTE
20344628;Eventual;Aberto;RMF1J10;MV1KST8FMQBR;HW;HY;Portal Agência;26/03/2023 14:30;CAMPO GRANDE AEROPORTO;27/03/2023 17:30;CAMPO GRANDE AEROPORTO;1.0;477,15;UpSell;RAC_CO;RAC_CO
20344698;Eventual;Aberto;RTW7J59;MV1K09GQDJBR;HW;HX;WebServices (XML);26/03/2023 12:23;FORTALEZA AEROPORTO;27/03/2023 13:00;FORTALEZA AEROPORTO;1.0;225,05;Upgrade;RAC_NORDESTE;RAC_NORDESTE
20344791;Eventual;Aberto;RKV7E08;MV1JPQGJ23BR;BS;G;Link Colaborador;26/03/2023 12:43;SÃO PAULO - CONSOLAÇÃO;27/03/2023 13:30;SÃO PAULO - CONSOLAÇÃO;1.0;154,00;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20344852;Eventual;Aberto;GJA3H86;MV1JNTSVAOBR;D;H;Mobile;26/03/2023 12:56;SÃO PAULO - GUARULHOS AEROPORTO;27/03/2023 15:00;MOGI DAS CRUZES;1.0;193,17;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20344895;Eventual;Aberto;RTO8G19;MV2XQ8490XBR;BS;H;Mobile;26/03/2023 13:15;GOIÂNIA T63;27/03/2023 13:15;GOIÂNIA T63;1.0;319,96;Upgrade;RAC_CO;RAC_CO
20344994;Eventual;Aberto;FZP9G21;MV301WFF7NBR;QX;XE;Parcerias;26/03/2023 13:40;SÃO PAULO - SHOPPING ELDORADO;27/03/2023 16:40;SÃO PAULO - SHOPPING ELDORADO;1.0;216,14;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20345017;Eventual;Aberto;RTG2I09;MV1TQ31077BR;HW;HY;WebServices (XML);26/03/2023 13:38;MARINGÁ AEROPORTO;27/03/2023 12:30;MARINGÁ AEROPORTO;1.0;236,66;Upgrade;RAC_SUL_PR_SC;RAC_SUL_PR_SC
20345018;Eventual;Aberto;EOA9A54;MV1K5YKFMHBR;H;D;WebServices (XML);26/03/2023 13:36;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;27/03/2023 13:00;BRASILIA AEROPORTO;1.0;230,61;Upgrade;RAC_RJ_CAPITAL;RAC_CO
20345026;Eventual;Aberto;FBO9D16;MV1JLX6T34BR;BS;D;Mobile;26/03/2023 14:06;SÃO PAULO - CONGONHAS AEROPORTO;27/03/2023 14:30;SÃO PAULO - CONGONHAS AEROPORTO;1.0;198,80;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20345038;Eventual;Aberto;RTP0E47;MV1JTJQ10DBR;MR;M;Portal Empresa;26/03/2023 14:00;BELO HORIZONTE AEROPORTO CONFINS;27/03/2023 13:00;BELO HORIZONTE AEROPORTO CONFINS;1.0;605,04;Upgrade;RAC_MG;RAC_MG
20345076;Eventual;Aberto;RVX5E48;MV1MNJY2HIBR;HW;HY;Call Center;26/03/2023 13:54;TERESINA AEROPORTO;27/03/2023 17:00;TERESINA AEROPORTO;1.0;257,70;Upgrade;RAC_NORTE;RAC_NORTE
20345121;Eventual;Aberto;RJG7G78;MV27XQ8Q1LBR;BS;G;WebServices (XML);26/03/2023 14:15;SÃO PAULO - AVENIDA ARICANDUVA;27/03/2023 14:15;SÃO PAULO - AVENIDA ARICANDUVA;1.0;231,46;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20345324;Eventual;Aberto;GCB7A55;MV27TX05MOBR;BS;D;Website Movida;26/03/2023 14:59;SÃO PAULO - VILA LEOPOLDINA;27/03/2023 16:00;SÃO PAULO - VILA LEOPOLDINA;1.0;169,99;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20345361;Eventual;Aberto;RTO1F35;MV1JLX6TCTBR;G;H;Mobile;26/03/2023 15:08;SÃO PAULO - CONGONHAS AEROPORTO;27/03/2023 15:30;SÃO PAULO - CONGONHAS AEROPORTO;1.0;288,32;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20345374;Eventual;Aberto;RTU4I73;MV1LGNV75CBR;BX;D;Mobile;26/03/2023 15:04;GOIÂNIA AEROPORTO;27/03/2023 14:00;GOIÂNIA AEROPORTO;1.0;232,28;UpSell;RAC_CO;RAC_CO
20345381;Eventual;Aberto;RNQ7C12;MV1P48PBI4BR;D;H;Parcerias;26/03/2023 15:11;JUNDIAÍ;27/03/2023 15:00;JUNDIAÍ;1.0;259,74;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20345508;Eventual;Aberto;GAX3G91;MV1P48PC9LBR;D;H;Mobile;26/03/2023 15:48;JUNDIAÍ;27/03/2023 14:30;JUNDIAÍ;1.0;344,27;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20345568;Eventual;Aberto;RTO1J30;MV28FV14YDBR;BS;HX;Call Center;26/03/2023 16:05;RIO DE JANEIRO - BARRA DA TIJUCA EXTRA;27/03/2023 16:05;RIO DE JANEIRO - BARRA DA TIJUCA EXTRA;1.0;188,00;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20345579;Eventual;Aberto;RNV9A00;MV1T5503X4BR;BX;D;Mobile;26/03/2023 16:15;SÃO PAULO - SHOPPING BUTANTÃ;27/03/2023 16:30;SÃO PAULO - SHOPPING BUTANTÃ;1.0;168,41;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20345684;Eventual;Aberto;GJN0E36;MV23A0BU2HBR;AX;QX;Loja - Walk in;26/03/2023 16:40;UBERLÂNDIA AEROPORTO;27/03/2023 19:40;UBERLÂNDIA AEROPORTO;1.0;443,46;UpSell;RAC_MG;RAC_MG
20345696;Eventual;Aberto;RNN5E52;MV1OGE1WSLBR;BX;H;Parcerias;26/03/2023 16:39;SANTOS AFFONSO PENNA;27/03/2023 17:00;SANTOS AFFONSO PENNA;1.0;293,85;UpSell;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20345755;Eventual;Aberto;RTM1J34;MV4H06MVKK4BR;D;H;Portal Agência;26/03/2023 16:51;RIO DE JANEIRO - BANGU SHOPPING;27/03/2023 17:00;RIO DE JANEIRO - BANGU SHOPPING;1.0;157,82;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20345872;Eventual;Aberto;RVF6E43;MV1KWMICF2BR;BX;SY;Website Movida;26/03/2023 17:25;BRASILIA AEROPORTO;27/03/2023 18:00;BRASILIA AEROPORTO;1.0;414,19;Upgrade;RAC_CO;RAC_CO
20345982;Eventual;Aberto;RTO1B82;MV1K5YKGLHBR;F;H;Website Movida;26/03/2023 18:00;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;27/03/2023 18:00;RIO DE JANEIRO-SANTOS DUMONT AERO/MARINA GLORIA;1.0;238,99;Upgrade;RAC_RJ_CAPITAL;RAC_RJ_CAPITAL
20346094;Eventual;Aberto;RUR7F83;MV1OCKRBEFBR;BX;HX;Loja - Walk in;26/03/2023 18:40;RIBEIRÃO PRETO AEROPORTO;27/03/2023 19:30;RIBEIRÃO PRETO AEROPORTO;1.0;332,00;Upgrade;RAC_MG;RAC_MG
20346106;Eventual;Aberto;GAD8F75;MV28C2Q6J3BR;HW;HX;Portal Empresa;26/03/2023 18:27;SÃO PAULO - SHOPPING DeD - BROOKLIN;27/03/2023 18:00;SÃO PAULO - SHOPPING DeD - BROOKLIN;1.0;256,00;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20346115;Eventual;Aberto;RTO9J54;MV24KONI6ABR;FX;H;Mobile;26/03/2023 18:29;VITÓRIA AEROPORTO;27/03/2023 18:00;VITÓRIA AEROPORTO;1.0;186,31;Upgrade;RAC_ES_RJ_INTERIOR;RAC_ES_RJ_INTERIOR
20346170;Eventual;Aberto;GCW7B36;MV2ACIDMM9BR;FX;H;Call Center;26/03/2023 18:45;CAMPINAS OROSIMBO;27/03/2023 20:00;CAMPINAS OROSIMBO;1.0;258,56;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20346349;Eventual;Aberto;RTW7I29;MV1O8RHIQSBR;FY;HX;Mobile;26/03/2023 19:24;SÃO PAULO - SHOPPING CAMPO LIMPO;27/03/2023 18:00;SÃO PAULO - SHOPPING CAMPO LIMPO;1.0;250,84;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20346350;Eventual;Aberto;RTX0J73;MV1JNTT7BBBR;H;HX;WebServices (XML);26/03/2023 19:30;SÃO PAULO - GUARULHOS AEROPORTO;27/03/2023 19:00;SÃO PAULO - GUARULHOS AEROPORTO;1.0;210,90;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20346376;Eventual;Aberto;GJQ6G05;MV1TO6D3OXBR;F;H;Portal Agência;26/03/2023 19:26;SÃO PAULO - JUSCELINO KUBITSCHEK;27/03/2023 20:00;SÃO PAULO - JUSCELINO KUBITSCHEK;1.0;132,66;Upgrade;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20346422;Eventual;Aberto;RIZ6F63;MV1KWMIJOBBR;HX;G;Loja - Walk in;26/03/2023 19:45;BRASILIA AEROPORTO;27/03/2023 20:00;BRASILIA AEROPORTO;1.0;282,44;UpSell;RAC_CO;RAC_CO
20346444;Eventual;Aberto;GFL4A15;MV1KJB2027BR;G;HX;Mobile;26/03/2023 19:49;CAMPINAS AEROPORTO;27/03/2023 20:30;SÃO PAULO - GUARULHOS AEROPORTO;1.0;363,92;Upgrade;RAC_SP_INTERIOR;RAC_SP_ZL_ABC_VP
20346461;Eventual;Aberto;RUQ1D67;MV1TO6DQC3BR;BS;SY;Portal Empresa;26/03/2023 19:54;SÃO PAULO - JUSCELINO KUBITSCHEK;27/03/2023 20:00;SÃO PAULO - JUSCELINO KUBITSCHEK;1.0;499,17;UpSell;RAC_SP_CAPITAL;RAC_SP_CAPITAL
20346587;Eventual;Aberto;RNV0D89;MV1LGNW6F7BR;BX;HX;Loja - Walk in;26/03/2023 20:40;GOIÂNIA AEROPORTO;27/03/2023 20:40;GOIÂNIA AEROPORTO;1.0;355,31;Upgrade;RAC_CO;RAC_CO
20346595;Eventual;Aberto;RTN0B58;MV1K09NEB9BR;HW;KX;Mobile;26/03/2023 20:37;FORTALEZA AEROPORTO;27/03/2023 20:00;FORTALEZA AEROPORTO;1.0;1.046,34;UpSell;RAC_NORDESTE;RAC_NORDESTE
20346760;Eventual;Aberto;RKE7D35;MV1JNTT90DBR;G;HX;Mobile;26/03/2023 22:10;SÃO PAULO - GUARULHOS AEROPORTO;27/03/2023 22:10;SÃO PAULO - GUARULHOS AEROPORTO;1.0;277,24;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_ZL_ABC_VP
20346775;Eventual;Aberto;RNM8C58;MV1SBKEORFBR;FX;FY;Website Movida;26/03/2023 22:26;FLORIANÓPOLIS AEROPORTO;27/03/2023 21:30;MARINGÁ AEROPORTO;1.0;1.495,40;Upgrade;RAC_SUL_RS_SC;RAC_SUL_PR_SC
20346860;Eventual;Aberto;RTC0A54;MV1SBKEQ44BR;F;G;Call Center;26/03/2023 23:50;FLORIANÓPOLIS AEROPORTO;27/03/2023 19:00;FLORIANÓPOLIS AEROPORTO;1.0;244,09;Upgrade;RAC_SUL_RS_SC;RAC_SUL_RS_SC
20346874;Eventual;Aberto;BND0B61;MV1K09LBVNBR;FY;FX;Parcerias;26/03/2023 23:45;FORTALEZA AEROPORTO;27/03/2023 22:30;FORTALEZA AEROPORTO;1.0;319,30;Upgrade;RAC_NORDESTE;RAC_NORDESTE
20347319;Eventual;Aberto;RTT0B31;MV2D2PBEWUBR;D;H;Portal Agência;27/03/2023 07:15;BARUERI ALPHAVILLE - TAMBORE;27/03/2023 20:00;BARUERI ALPHAVILLE - TAMBORE;1.0;243,40;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20347647;Eventual;Aberto;RUH1E56;MV1SBKEI4IBR;FY;H;Portal Agência;27/03/2023 08:00;FLORIANÓPOLIS AEROPORTO;27/03/2023 17:00;FLORIANÓPOLIS AEROPORTO;1.0;220,70;Upgrade;RAC_SUL_RS_SC;RAC_SUL_RS_SC
20347732;Eventual;Aberto;RUA9F23;MV1KJB1N78BR;F;HX;Portal Agência;27/03/2023 08:00;CAMPINAS AEROPORTO;27/03/2023 23:50;CAMPINAS AEROPORTO;1.0;232,34;Upgrade;RAC_SP_INTERIOR;RAC_SP_INTERIOR
20348557;Eventual;Aberto;RKA7H70;MV1LGNJ4EXBR;BS;HX;Portal Agência;27/03/2023 08:56;GOIÂNIA AEROPORTO;27/03/2023 19:00;GOIÂNIA AEROPORTO;1.0;218,73;Upgrade;RAC_CO;RAC_CO
20348595;Eventual;Aberto;RKI7E42;MV1JTJOYJ6BR;F;HX;Portal Agência;27/03/2023 09:00;BELO HORIZONTE AEROPORTO CONFINS;27/03/2023 18:30;BELO HORIZONTE AEROPORTO CONFINS;1.0;223,90;Upgrade;RAC_MG;RAC_MG
20349360;Eventual;Aberto;RUW0B52;MV1JLX6XNWBR;BX;L;WebServices (XML);27/03/2023 10:00;SÃO PAULO - CONGONHAS AEROPORTO;27/03/2023 23:30;SÃO PAULO - GUARULHOS AEROPORTO;1.0;319,48;Upgrade;RAC_SP_CAPITAL;RAC_SP_ZL_ABC_VP
20350110;Eventual;Aberto;RTU2D63;MV1OGE24U5BR;D;H;Mobile;27/03/2023 10:45;SANTOS AFFONSO PENNA;27/03/2023 19:30;CAMPINAS AEROPORTO;1.0;242,79;Upgrade;RAC_SP_ZL_ABC_VP;RAC_SP_INTERIOR
